monitor_start=2026-06-05T03:40:02+09:00
pid=9357
columns=timestamp pid stat pcpu pmem rss_kb vsz_kb etime cmd
2026-06-05T03:40:02+09:00    9357 SN    5.2  0.1 21580  32696       00:00 ./agent-app-leak
2026-06-05T03:40:03+09:00    9357 SN    2.5  0.1 21580  32696       00:01 ./agent-app-leak
2026-06-05T03:40:04+09:00    9357 SN    3.0  0.2 47184  58300       00:02 ./agent-app-leak
2026-06-05T03:40:05+09:00    9357 SN    2.2  0.2 47184  58300       00:03 ./agent-app-leak
2026-06-05T03:40:06+09:00    9357 SN    1.8  0.2 47184  58300       00:04 ./agent-app-leak
2026-06-05T03:40:07+09:00    9357 SN    2.0  0.4 72788  83904       00:06 ./agent-app-leak
2026-06-05T03:40:08+09:00    9357 SN    1.7  0.4 72788  83904       00:07 ./agent-app-leak
2026-06-05T03:40:09+09:00    9357 SN    1.4  0.4 72788  83904       00:08 ./agent-app-leak
2026-06-05T03:40:10+09:00    9357 SN    1.7  0.5 98392 109508       00:09 ./agent-app-leak
2026-06-05T03:40:11+09:00    9357 SN    1.5  0.5 98392 109508       00:10 ./agent-app-leak
2026-06-05T03:40:12+09:00    9357 SN    1.4  0.5 98392 109508       00:11 ./agent-app-leak
2026-06-05T03:40:13+09:00    9357 SN    1.5  0.7 123996 135112      00:12 ./agent-app-leak
2026-06-05T03:40:14+09:00    9357 SN    1.4  0.7 123996 135112      00:13 ./agent-app-leak
2026-06-05T03:40:15+09:00    9357 SN    1.3  0.7 123996 135112      00:14 ./agent-app-leak
2026-06-05T03:40:16+09:00    9357 SN    1.5  0.9 149600 160716      00:15 ./agent-app-leak
2026-06-05T03:40:17+09:00    9357 SN    1.4  0.9 149600 160716      00:16 ./agent-app-leak
2026-06-05T03:40:18+09:00    9357 SN    1.3  0.9 149600 160716      00:17 ./agent-app-leak
2026-06-05T03:40:19+09:00    9357 SN    1.4  1.0 175204 186320      00:18 ./agent-app-leak
2026-06-05T03:40:20+09:00    9357 SN    1.3  1.0 175204 186320      00:19 ./agent-app-leak
2026-06-05T03:40:21+09:00    9357 SN    1.2  1.0 175204 186320      00:20 ./agent-app-leak
2026-06-05T03:40:22+09:00    9357 SN    1.4  1.2 200808 211924      00:21 ./agent-app-leak
2026-06-05T03:40:23+09:00    9357 SN    1.3  1.2 200808 211924      00:22 ./agent-app-leak
2026-06-05T03:40:24+09:00    9357 SN    1.2  1.2 200808 211924      00:23 ./agent-app-leak
2026-06-05T03:40:25+09:00    9357 SN    1.4  1.3 226412 237528      00:24 ./agent-app-leak
2026-06-05T03:40:26+09:00    9357 SN    1.3  1.3 226412 237528      00:25 ./agent-app-leak
2026-06-05T03:40:27+09:00    9357 SN    1.2  1.3 226412 237528      00:26 ./agent-app-leak
2026-06-05T03:40:28+09:00    9357 SN    1.3  1.5 252016 263132      00:27 ./agent-app-leak
2026-06-05T03:40:29+09:00    9357 SN    1.3  1.5 252016 263132      00:28 ./agent-app-leak
2026-06-05T03:40:30+09:00    9357 SN    1.3  1.5 252016 263132      00:29 ./agent-app-leak
2026-06-05T03:40:31+09:00    9357 SN    1.3  1.6 277620 288736      00:30 ./agent-app-leak
2026-06-05T03:40:32+09:00    9357 SN    1.3  1.6 277620 288736      00:31 ./agent-app-leak
2026-06-05T03:40:33+09:00    9357 SN    1.2  1.6 277620 288736      00:32 ./agent-app-leak
2026-06-05T03:40:34+09:00 process_missing pid=9357
