monitor_start=2026-06-05T03:38:11+09:00
pid=9053
columns=timestamp pid stat pcpu pmem rss_kb vsz_kb etime cmd
2026-06-05T03:38:11+09:00    9053 SN    6.3  0.1 21620  32696       00:00 ./agent-app-leak
2026-06-05T03:38:12+09:00    9053 SN    3.0  0.1 21620  32696       00:01 ./agent-app-leak
2026-06-05T03:38:13+09:00    9053 SN    3.3  0.2 47224  58300       00:02 ./agent-app-leak
2026-06-05T03:38:14+09:00    9053 SN    2.5  0.2 47224  58300       00:03 ./agent-app-leak
2026-06-05T03:38:15+09:00    9053 SN    2.0  0.2 47224  58300       00:04 ./agent-app-leak
2026-06-05T03:38:16+09:00    9053 SN    2.3  0.4 72828  83904       00:06 ./agent-app-leak
2026-06-05T03:38:17+09:00    9053 SN    1.9  0.4 72828  83904       00:07 ./agent-app-leak
2026-06-05T03:38:18+09:00    9053 SN    1.7  0.4 72828  83904       00:08 ./agent-app-leak
2026-06-05T03:38:19+09:00    9053 SN    1.5  0.5 98432 109508       00:09 ./agent-app-leak
2026-06-05T03:38:20+09:00    9053 SN    1.3  0.5 98432 109508       00:10 ./agent-app-leak
2026-06-05T03:38:21+09:00    9053 SN    1.2  0.5 98432 109508       00:11 ./agent-app-leak
2026-06-05T03:38:22+09:00    9053 SN    1.4  0.7 124036 135112      00:12 ./agent-app-leak
2026-06-05T03:38:23+09:00    9053 SN    1.3  0.7 124036 135112      00:13 ./agent-app-leak
2026-06-05T03:38:24+09:00    9053 SN    1.2  0.7 124036 135112      00:14 ./agent-app-leak
2026-06-05T03:38:25+09:00    9053 SN    1.3  0.9 149640 160716      00:15 ./agent-app-leak
2026-06-05T03:38:26+09:00    9053 SN    1.3  0.9 149640 160716      00:16 ./agent-app-leak
2026-06-05T03:38:27+09:00    9053 SN    1.2  0.9 149640 160716      00:17 ./agent-app-leak
2026-06-05T03:38:28+09:00 process_missing pid=9053
